,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,actual_income,predicted_income
20635,71, Private,149040, 12th,8, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
22917,23, Private,520759, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,30, United-States, <=50K, <=50K
27998,54, Private,263925, 1st-4th,2, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, <=50K, <=50K
10182,48, Self-emp-not-inc,164582, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,60, United-States, >50K, <=50K
30257,38, Private,219902, HS-grad,9, Separated, Transport-moving, Unmarried, Black, Female,30, United-States, <=50K, <=50K
30374,28, Private,144833, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K, <=50K
26591,60, Private,166330, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, <=50K, <=50K
1913,39, Private,324420, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,45, Mexico, <=50K, <=50K
13587,21, Private,163595, Some-college,10, Never-married, Other-service, Own-child, White, Male,35, United-States, <=50K, <=50K
4938,28, State-gov,286310, HS-grad,9, Married-civ-spouse, Adm-clerical, Own-child, White, Female,40, United-States, <=50K, <=50K
20602,27, Self-emp-not-inc,153546, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,40, United-States, <=50K, <=50K
11140,73, Private,153127, Some-college,10, Widowed, Priv-house-serv, Unmarried, White, Female,10, United-States, <=50K, <=50K
51,18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,30,ffill, <=50K, <=50K
4121,49, Private,87928, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K, <=50K
5066,18, Private,78045, 11th,7, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K, <=50K
618,52, Self-emp-inc,51048, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,55, United-States, <=50K, >50K
7035,23, Private,107190, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Male,20, United-States, <=50K, <=50K
27685,61,ffill,167284, 7th-8th,4, Widowed,ffill, Not-in-family, Black, Female,40, United-States, <=50K, <=50K
23869,42, Private,296982, Some-college,10, Divorced, Sales, Unmarried, White, Male,40, United-States, <=50K, <=50K
8153,32, Private,163530, HS-grad,9, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,40, United-States, <=50K, <=50K
2442,54, Local-gov,137678, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
16868,48, Private,121124, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, >50K, <=50K
27179,49, Private,83622, Assoc-acdm,12, Separated, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
27474,21, Local-gov,309348, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,4, United-States, <=50K, <=50K
